Item_Name,class,Brand,Weight,Number of units,Size of units,Price,T.Price,Pack,Unit
King M Rice Toast Plain 27pcs,Bakery,King,,27,,,,عبوة,
حياة مياه شرب طبيعية 6 لتر,Water,حياة,6لتر,1,,,,زجاجة,لتر
مافن فانيليا 6 سبينيس,"Chocolates, Sweets & Desserts",سبينيس,,6,,,,عبوة,
صن شاين تونه ق واحده سهله 185ج,"Tins, Jars & Packets",صن شاين,185جم,1,,,,علبة,جم
شهد افخاد دجاج مجمدة 1 ك,Poultry,شهد,1كيلو,1,,,,عبوة,كيلو
باندا جبنة فيتا بالزيتون 500جم,Dairy & Eggs,باندا,500جم,1,,,,عبوة,جم
كينج ام شيبسى مقلى توستادو ملح وجبنه وبصل وباربكيو,Chips & Crackers,كينج ام,,1,,,,كيس,
36.00 36.00 1 Lays Saveur Natu,Chips & Crackers,Lays,,1,,36,36,كيس,
Remia Barbeque Sauce - 250ml,"Sauces, Dressings & Condiments",Remia,250ml,1,,,,عبوة,ml
رومى داير بالوزن,Poultry,,,1,,,,عبوة,
اريال مسحوق اتوماتيك 4 ك + 2 ك مجانا,Cleaning Supplies,اريال,4ك+2ك,1,,,,عبوة,كك
Vimto Fruit Concentrate 710gm,Soft Drinks & Juices,Vimto,710gm,1,,,,عبوة,gm
المراعى حليب نصف الدسم 1لتر,Dairy & Eggs,المراعى,1لتر,1,,,,عبوة,لتر
زاهر حلويات كريم كراميل وسط 190 ج,"Chocolates, Sweets & Desserts",زاهر,190ج,1,,,,عبوة,ج
HELAL Bread Basket Palm Small ,Bakery,HELAL,,1,small,,,باكو,
قطعه ميلفيه لوكس شيكولاته وحده,"Chocolates, Sweets & Desserts",,,1,,,,عبوة,
كيت كات شيكولاتة,"Chocolates, Sweets & Desserts",كيت كات ,,1,,,,عبوة,
ANCHOR NEWZEALAND BUTTER 10G*10PCS,Cooking Ingredients,ANCHOR,10,1,,,,عبوة,
دندراوي فول مدمس - 400 جم,"Tins, Jars & Packets",,400جم,1,,,,عبوة,جم
سبينيس صدور رومى,Poultry,سبينيس,,1,,,,عبوة,
بريدواي خبز سوبر رول، 270 جرام,Bakery,بريدواي,270جرام,1,,,,كيس,جرام
بطاطس جاكر بالباربيكيو - 75 جم,Chips & Crackers,جاكر,75جم,1,,,,كيس,جم
دمياط فارم قشطة 500جم,Dairy & Eggs,دمياط فارم,500جم,1,,,,عبوة,جم
فريماز سناكس بالطعم الاصلى 75 جم,Chips & Crackers,فريماز,75جم,1,,,,أكياس,جم
Farm Fresh Peas - 400 Gram,Vegetables & Fruits,Farm Fresh,400gm,1,,,,كيس,gm
اولكر بسكريم كاكاو,Biscuits & Cakes,اولكر بسكريم,,1,,,,باكو,
Faragello Chicken Roast - 150 gram,Poultry,Faragello,150gram,1,,,,عبوة,gram
Tolido Chocolate Cream With Hazelnut 1kg,"Chocolates, Sweets & Desserts",Tolido,1kg,1,,,,علبة,kg
لمار عصير مانجو طبيعى 1لتر,Soft Drinks & Juices,لمار,1لتر,1,,,,زجاجة,لتر
هوهوز حجم اكبر 2 ج علبه ,Biscuits & Cakes,هوهوز,,1,,2,2,علبه,ج
Domty juice types 1 liter mango and peach,Soft Drinks & Juices,Domty,1L,1,,,,عبوة,L
ثرى شفس بانيه دجاج 800جم حار,Poultry,ثرى شفس,800جم,1,,,,عبوة,جم
دساني جالون مياه19لتر,Water,دساني,19لتر,1,,,,عبوة,لتر
Hyperone Fruit Salad ,Bakery,Hyperone,,1,,,,باكو,
بتلو كتف بالعظم مجمد وزن,Beef & Processed Meat,,,1,,,,عبوة,
Oreo Chocolate Filled Biscuits - 57 Gram - 12 Pieces,Biscuits & Cakes,Oreo,57gm,12,,,,باكو,gm
قمح مبشور,"Rice, Pasta & Pulses",,,1,,,,كيس,
Halwani Hot Chicken Pane 1kg,Poultry,Halwani,1kg,1,,,,عبوة,kg
فيروز اناناس كانز,Soft Drinks & Juices,فيروز,,1,,,,كانز,
ك بانيه,Poultry,,,1,,,,عبوة,
35.00 كلوروكس مزيل 900مل,Cleaning Supplies,كلوروكس,900مل,1,,35,35,عبوة,مل
نولا ويفر بكريمة الشيكولاتة ٨ 5.50 1 5.50,Biscuits & Cakes,نولا,,1,,5.5,5.5,باكو,
حلواني بيف سلامي مدخن 250 جم,Beef & Processed Meat,حلواني,250جم,1,,,,عبوة,جم
فيروز اناناس 330مل كانز,Soft Drinks & Juices,فيروز,330مل,1,,,,زجاجة,مل
Americana Tuna Slices In Sunflower Oil - 120 Gram,"Tins, Jars & Packets",Americana ,120Gm,1,,,,علبة,Gm
باتيه جبنه *5,Bakery,,,1,,,,كيس,
" Rani Float Strawberry Banana, 240 ml",Soft Drinks & Juices,Rani,240ml,1,,,,عبوة,ml
Freshfarm Plain Beef - 1 kg,Beef & Processed Meat,Freshfarm,1kg,1,,,,عبوة,kg
طحينه حلوانى  عرض,"Sauces, Dressings & Condiments",حلوانى,,1,,,,عبوة,
تيت بيور بيف بيكون مطهى مدخن ,Beef & Processed Meat,تيت بيور,,1,,,,عبوة,
Coffee Planet Lungo 10pcs,"Tea, Coffee & Hot Drinks",Coffee Planet,,10,,,,عبوة,
بلاستيك 10 لسان Digital باكو فواصل ملونه,"Personal care, skin & body care",Digital,,1,,,,بلاستيك,باكو
Elano Natural Drinking Water 12 x 1.5Litre,Water,Elano,1.5Litre,12,,,,عبوة,Litre
طحينه سمسم ايزيس وزن,"Sauces, Dressings & Condiments",ايزيس,,1,,,,عبوة,
بطاطس بالجبنة المتبلة من تايجر - 78جم	,Chips & Crackers,تايجر,78جم,1,,,,كيس,جم
دوريتوس ساور كريم,Chips & Crackers,دوريتوس,,1,,,,كيس,
California Garden White Solid Tuna In Sunflower Oil,"Tins, Jars & Packets",California Garden,,1,,,,عبوة,
Dobella Pasta Rigate Oat Light 400g,"Rice, Pasta & Pulses",Dobella,400g,1,,,,كيس,g
رو شيبسى فلفل جلا,Chips & Crackers,رو,,1,,,,كيس,
8.000 Water x 1,Water,,,1,,8,8,زجاجة,
صوص ليمون حار من كيكومان، 250 مل,"Sauces, Dressings & Condiments",كيكومان,250مل,1,,,,عبوة,مل
نسكافيه جولد,"Tea, Coffee & Hot Drinks",نسكافيه,,1,,,,علبة,
بيبسى 2لتر انواع,Soft Drinks & Juices,بيبسى,2لتر,1,,,,زجاجة,لتر
ALMARAI T. YOGHURT MANGO 100G*3E1,Dairy & Eggs,ALMARAI,100gm,3,,,,عبوة,gm
جلاكسي جويلز 400جم,"Chocolates, Sweets & Desserts",جلاكسي,400جم,1,,,,عبوة,جم
Class A Couscous Medium 1kg,"Rice, Pasta & Pulses",Class A,1kg,1,,,,كيس,kg
Carolina Gardens Egyptian Mix 400 gm ,"Tins, Jars & Packets",Carolina Garden,400gm,1,,,,عبوة,gm
ملح الخير مكرر ناعم 500 جم,Cooking Ingredients,الخير,500جم,1,,,,عبوة,جم
كفتة بقري ميتلاند حجم عائلي - 900جم,Beef & Processed Meat,ميتلاند,900جم,1,,,,عبوة,جم
منعم الأقمشة نسيم الوادي - 1 لتر,Cleaning Supplies,,1لتر,1,,,,زجاجة,لتر
لمار مشروب اناناس,Soft Drinks & Juices,لمار,,1,,,,زجاجة,
Hohos Strawberry and Cream Rolled Cake - 12 Pieces,Biscuits & Cakes,Hohos,,12,,,,باكو,
حلوي كاراميل كافنديش أند هارفي محشوة بالشيكولاتة - 130جم,"Chocolates, Sweets & Desserts",كافنديش أند هارفي,130ج,1,,,,عبوة,ج
Fanta Apple 1 L,Soft Drinks & Juices,Fanta,1L,1,,,,عبوة,L
مكرونه لهلوبه 1ك,"Rice, Pasta & Pulses",لهلوبه,,1,,,,كيس,
يوبو ليس زبادى يونانى الفراولة 150جم,Dairy & Eggs,يوبو ليس,150جم,1,,,,عبوة,جم
لينو بسكويت كاكاو 180جم,Biscuits & Cakes,لينو,180جم,1,,,,باكو,جم
بركة مياة طبيعية 600 مللي,Water,بركة,600مل,1,,,,زجاجة,مل
Hot GRispy Allumete Frites2.5k ,Vegetables & Fruits,Hot GRispy,2.5kg,1,,,,كيس,kg
بربيكان شراب شعير بالاناناس زجاج 330 مل,Soft Drinks & Juices,بربيكان,330مل,1,,,,كان,مل
Lido Pasta Snails 400 g,"Rice, Pasta & Pulses",Lido,400 g,1,,,,,g
Red Pumpkin 1kg,Vegetables & Fruits,,1kg,1,,,,كيس,kg
فانتا برتقال - 250 مل,Soft Drinks & Juices,فانتا,250مل,1,,,,زجاجة,مل
شيف سيكريت صلصه طماطم 300جم,"Tins, Jars & Packets",شيف سيكريت,300جم,1,,,,علبة,جم
HANS INSTANT COFFEE GOLD 20 G*6,"Tea, Coffee & Hot Drinks",HANS,6G,20,,,,,
 ريجينا مكرونة فرن، 1 كيلو,"Rice, Pasta & Pulses",ريجينا,1كيلو,1,,,,كيس,كيلو
كوكاكولا كانز 330 مل,Soft Drinks & Juices,كوكاكولا,330مل,1,,,,كانز,مل
هاربيك ليمون ٧٠٠مل 44.95 1 44.95,Cleaning Supplies,هاربيك,700مل,1,,44.95,44.95,عبوة,مل
حلوانى تركى مدخن وزن 198.00 0.285 56.43,Poultry,حلوانى,0.285,1,,198,56.43,عبوة,
تايجر كبير جبنه متبله ,Chips & Crackers,تايجر,,1,,,,كيس,
شيبسى جبنة متبلة86-96جم,Chips & Crackers,شيبسى,86-96جم,1,,,,أكياس,جم
بالزن بسكويت شكولاته 220,Biscuits & Cakes,بالزن,220ج,1,,,,باكو,ج
شيتوس فشار عائلى,Chips & Crackers,شيتوس,,1,,,,كيس,
خل تفاح توب فاليو - 500 جم,"Sauces, Dressings & Condiments",توب فاليو,500جم,1,,,,,جم
Deli Sun Wheat Mini Tortilla - 250g ,Bakery,Deli Sun,250g,1,,,,عبوة,g
CocaCola Medium 1,Soft Drinks & Juices,CocaCola,,1,,,,عبوة,
"Moussy Non Alcoholic Beer Strawberry, 330 Ml",Soft Drinks & Juices,Moussy,330Ml,1,,,,عبوة,Ml
نسكويك مشروب شيكولاتة 77جم,"Tea, Coffee & Hot Drinks",نسكويك,77جم,1,,,,علبة,جم
9.35 فلفل احمر,Vegetables & Fruits,,35جم,1,,9.35,9.35,عبوة,جم
تونه صن شاين قطع,"Tins, Jars & Packets",صن شاين,,1,,,,علبة,
المراعي زبادي بلاك بيري 100 جم,Dairy & Eggs,المراعي,100جم,1,,,,علبة,جم
عصير جهينه بريميم تفاح 235مل,Soft Drinks & Juices,جهينه,235مل,1,,,,عبوة,مل
Moringa Tea Powder - 75 GM,"Tea, Coffee & Hot Drinks",,75gm,1,,,,عبوة,gm
هاينز خل أبيض 1 لتر,"Sauces, Dressings & Condiments",هاينز,1لتر,1,,,,عبوة,لتر
نسكافيه كلاسيك كيس 18جم,"Tea, Coffee & Hot Drinks",نسكافيه,18جم,1,,,,كيس,جم
بريل عرص,Cleaning Supplies,بريل,,1,,,,عبوة,
زبادي لايت  جهينة - 105جم - 8 قطع + 4 هدية,Dairy & Eggs,جهينة,105gm,12,,,,عبوة,gm
اوشن مج زجاج نوفو كبير,Furniture,,,1,كبير,,,زجاج,كبير
دسانى مياة طبيعيه 600مل,Water,دسانى,600مل,1,,,,زجاجة,مل
السلام جلاش 300 جم علب,Bakery,السلام,300جم,1,,,,علب,جم
دومتي جبنة بيضاء بالخيار 500 جم,Dairy & Eggs,دومتي,500جم,1,,,,عبوة,جم
Sunbulah Egg Spring Roll Pastry 345g,Bakery,Sunbulah,345g,1,,,,كيس,g
ليندت ليندت سويس كلاسيك شوكولاتة بالحليب بالبندق - 100 جم,"Chocolates, Sweets & Desserts",ليندت,100جم,1,,,,عبوة,جم
امريكانا كفتة حاتى فاخر 400جم,Beef & Processed Meat,امريكانا,400جم,1,,,,عبوة,جم
صن شاين تونة ق و س ٢٠٠ 25.95 3 77.85,"Tins, Jars & Packets",صن شاين,,3,,25.95,77.85,علبة,
Pasta Big Rings - 400g,"Rice, Pasta & Pulses",,400g,1,,,,كيس,g
بسكويت مكفتيز شوفان ذهبى,Biscuits & Cakes,مكفتيز,,1,,,,باكو,
بطاطس كرانشي بالشطة والليمون - 76 جم,Chips & Crackers,كرانشي,76جم,1,,,,كيس,جم
الطاهيه فول ساده 400جرام,"Tins, Jars & Packets",الطاهيه,400جم,1,,,,علبة,جم
Fresh Naboulsi Cheese 250g Approx. Weight,Dairy & Eggs,,250gm,1,,,,عبوة,gm
جهينه زبادي لايت 105جم ,Dairy & Eggs,جهينه,105gm,1,,,,عبوة,gm
روستو بقري مدخن,Beef & Processed Meat,,,1,,,,عبوة,
كلوريل 4 كجم+ كلوريل ألوان روز 2كجم,Cleaning Supplies,كلوريل,2كجم,1,,,,عبوة,كجم
Biscuit With Chocolate - 15g - Pack Of 48,Biscuits & Cakes,,15g,48,,,,باكو,g
علبه2 *1,"Personal care, skin & body care",,,2,,,,علبه,
لواكر بسكويت جاردينيا بندق 38,Biscuits & Cakes,لواكر,38جم,1,,,,باكو,جم
خوخ انصاف فر شراب خفيف 820جم,Soft Drinks & Juices,,820جم,1,,,,عبوة,جم
بوني حليب مكثف محلى، 397 جرام,Dairy & Eggs,بوني,397جرام,1,,,,عبوة,جرام
Turnip Pickles 250g,"Tins, Jars & Packets",,250gm,1,,,,عبوة,gm
Hi FOOD .B.WAFER 8,Biscuits & Cakes,Hi FOOD,,8,,,,باكو,
زجاجة مياه طبيعية حياة - 1.5لتر* 6 قطع,Water,حياة,1.5لتر,6,,,,عبوة,لتر
Far Eastern Seasoning - 800 Gm,Cooking Ingredients, Eastern Seasoning,800 Gm,1,,,,,Gm
مكفيتيز بسكويت 33ج,Biscuits & Cakes,مكفيتيز,33ج,1,,,,باكو,ج
ELLEHEIMY CHICKEN MARINATED 1KG,Poultry,ELLEHEIMY,1KG,1,,,,عبوة,KG
لمار بيور مانجو 200 مل عصير,Soft Drinks & Juices,لمار,200مل,1,,,,عبوة,مل
اطياب دجاج مقلى 12 ق بطاطس,Poultry,اطياب,,12,,,,عبوة,
لمتنا مكرونة اسباجتى 400 جم,"Rice, Pasta & Pulses",لمتنا,400جم,1,,,,كيس,جم
تمرى فريش دجاجه 950-1000,Poultry,تمرى,950-1000جم,1,,,,عبوة,جم
Cream filled Konafa - By Weight ,"Chocolates, Sweets & Desserts",,,1,,,,عبوة,
 فايز السوهاجى فول مجروش ، 500 جم,"Rice, Pasta & Pulses",فايز السوهاجى,500جم,1,,,,كيس,جم
فريش فارم بسطرمة بثوم 250 جم,Beef & Processed Meat,فريش فارم,250جم,1,,,,عبوة,جم
Baraka Natural Water - 1.5 Liters - 12 Bottles,Water,Baraka,1.5Litre,12,,,,عبوة,Litre
بيببس كانز ,Soft Drinks & Juices,بيبسي,,1,,,,كانز,
امريكان جاردن صوص مكرونة 397ج,"Sauces, Dressings & Condiments",امريكان جاردن,379ج,1,,,,عبوة,ج
الفا تفاح احمر اوروبى 1كجم,Vegetables & Fruits,الفا,1كجم,1,,,,عبوة,كجم
نسكافيه 3*1  18 جم بنكهه الشوكلاته,"Tea, Coffee & Hot Drinks",نسكافيه,18جم,1,,,,علبة,جم
حافظه بلاستيك ب,Furniture,,,1,,,,بلاستيك,
Corona Bimbo Coco Biscuit Coated With Chocolate - 1 Piece,Biscuits & Cakes,Corona Bimbo,,1,,,,باكو,
Bostany Tuna Chunks - 185 Gram,"Tins, Jars & Packets",Bostany ,185جم,1,,,,علبة,جم
مستر ماسل منظف متعدد الاغراض لافندر,Cleaning Supplies,مستر ماسل,,1,,,,عبوة,
Break Chips Hot Chilli 93-98g,Chips & Crackers,Break,93-98g,1,,,,كيس,g
Dilmah Flavoured Ceylon Black Tea Peach 20 Teabags,"Tea, Coffee & Hot Drinks",Dilmah,,20,,,,علبة,
تيكا مصاصه دينجر جمجمه 1ق,"Chocolates, Sweets & Desserts",تيكا,,1,,,,عبوة,
جاتوه سواريه علبه وسط,Sweets & Desserts,,,1,وسط,,,علبه,
Dilmah Earl Grey Tea 125g,"Tea, Coffee & Hot Drinks",Dilmah,125g,1,,,,عبوة,g
علبة المون 10 م,"Personal care, skin & body care",,10م,1,,,,علبة,م
ELLEHEIMY SAMBOUSEK BASTURMA 10 PCS,Bakery,ELLEHEIMY,,10,,,,باكو,
Koki Frying Chicken Hot&Potatos 12 Pcs,Poultry,Koki,,12,,,,عبوة,
جهينه بيور عصير برتقال235م,Soft Drinks & Juices,جهينه,235مل,1,,,,عبوة,مل
اريكان جاردن مايونيز  لايت 473ملى,"Sauces, Dressings & Condiments",اريكان جاردن,473ملي,1,,,,عبوة,ملي
domty sheese spr,Dairy & Eggs,domty,,1,,,,علبة,
بطة مجمدة 2.3 كجم - 2.5 كجم,Poultry,,2.5-2.3كجم,1,,,,عبوة,كجم
ميكس جبن رول *1 ,Dairy & Eggs,,,1,,,,عبوة,
بسلة شهرزاد - 400 جم,Vegetables & Fruits,شهرزاد,400جم,1,,,,عبوة,جم
بريد واي توست مالتي جرين -500 جم,Bakery,بريد واي,500جم,1,,,,كيس,جم
هاينز مايونيز برطمان 310ج,"Sauces, Dressings & Condiments",هاينز,310جم,1,,,,عبوة,جم
علبه فول ساده ,"Tins, Jars & Packets",,,1,,,,علبه,
بيض احمر مغلف 1.000 51.00 51.00,Dairy & Eggs,,,1,,51,51,عبوة,
Kenz Milk Whole Hazelnut Chocolate Bar - 90 Gm,"Chocolates, Sweets & Desserts",Kenz,90gm,1,,,,عبوة,gm
Wadi Food Pepper Sliced 1KG ,"Tins, Jars & Packets",Wadi Food,1kg,1,,,,عبوة,kg
بسكويت ويفر بالوكو بكريمة الكاكاو - 45جم,Biscuits & Cakes,,45جم,1,,,,باكو,جم
برتقال بلدي عصير,Soft Drinks & Juices,,,1,,,,عبوة,
طحينة حلواني ,"Sauces, Dressings & Condiments",حلواني,,1,,,,عبوة,
فانتا تفاح اخضر 250مل,Soft Drinks & Juices,فانتا,250مل,1,,,,زجاجة,مل
زيتون اسود من اوليفيا - 720 جم,"Tins, Jars & Packets",اوليفيا ,720جم,1,,,,عبوة,جم
هاينز مسترده عادى بلاستيكيه 235جرام,"Sauces, Dressings & Condiments",هاينز,235جم,1,,,,عبوة,جم
Jacker Barbecue Potato Chips - 75 gm,Chips & Crackers,Jacker,75gm,1,,,,كيس,gm
خلطة الدجاج المقلي الحارة سبايسي - 45 جم,Cooking Ingredients,سبايسي,45جم,1,,,,عبوة,جم
Cleaning Poop Pickup + Hand,Cleaning Supplies,,,2,,,,عبوة,
علبه زبادى زجاج غطاء الوان 410 مل,Furniture,,410مل,1,,,,علبه,مل
امريكانا تونة شرائح فى ليمون، 120 جرام,"Tins, Jars & Packets",امريكانا ,120جرام,1,,,,عبوة,جرام
دينا حليب بالفراوله,Dairy & Eggs,دينا,,1,,,,عبوة,
Chipsy Super ElMalek/Chil52 -56  ,Chips & Crackers,chipsy,56,1,,,,,
بريل عرص,Cleaning Supplies,بريل,,1,,,,,
بسكويت اوريو 6قطع 57جم,Biscuits & Cakes,اوريو,57ج,6,,,,باكو,ج
حلوانى سلامى جاف 1ك,Beef & Processed Meat,حلوانى,1ك,1,,,,عبوة,ك
Bavaria Flavoured Malt Drink Strawberries 500 ml,Soft Drinks & Juices,Bavaria,500ml,1,,,,زجاجة,ml
ماكسيل للزجاج روز 700 مل,Cleaning Supplies,روز جاردن,700مل,1,,,,زجاج,مل
علبة حوادق اسبيشيال مشكل 500 جرام ,Bakery,,500جرام,1,,,,علبة,جرام
هيرمان كاتشب بارد340جم,"Sauces, Dressings & Condiments",هيرمان,340جم,1,,,,عبوة,جم
ياهو عصير مانجو نكتار - 12 عبوة - 250 مل,Soft Drinks & Juices,ياهو,250مل,12,,,,زجاجة,مل
تونة مفتته في زيت صويا عافيع ,"Tins, Jars & Packets",,,1,,,,علبة,
Nestle fitness biscuits original 12x30gm,Biscuits & Cakes,Nestle fitness,30gm,12,,,,باكو,gm
 تفاح سكرى,Vegetables & Fruits,,,1,,,,عبوة,
Kharaz Tea - 100gm,"Tea, Coffee & Hot Drinks",,100جم,1,,,,علبة,جم
اولكر بسكويت محشو بالتمر نباتى 4ق,Biscuits & Cakes,اولكر,,4,,,,باكو,
دجاج مقلي الوطنية - 12 قطعة,Poultry,الوطنية,,12,,,,عبوة,
تيك تاك 16جم جميع  النكهات ,"Chocolates, Sweets & Desserts",تيك تاك,16جم,1,,,,عبوة,جم
Hyperone Croissant With Thyme - 4 pieces,Bakery,Hyperone,,4,,,,باكو,
رقائق سبرنج رول الكرامة، كبيرة - 250 جم,Bakery,الكرامة,250جم,1,,,,كيس,جم
Katilo Baramely Cheese Alexandrian kg,Dairy & Eggs,Katilo,kg,1,,,,عبوة,kg
California Garden Red Kidney Beans - 400 Gram,"Tins, Jars & Packets",California Garden,400Gram,1,,,,عبوة,Gram
شتوره جاردن ماء أزهار البرتقال 500 مل,Cooking Ingredients,شتوره,500مل,1,,,,عبوة,مل
لواكر بسكوت كاكاو 45جم,Biscuits & Cakes,لواكر,45جم,1,,,,باكو,جم
CALNORT DEHYDRATED ASPARAGUS CREAM SOUP 66 gm ,"Tins, Jars & Packets",CALNORT ,66gm,1,,,,عبوة,gm
تونا تونه مفتته حار سهله الفتح,"Tins, Jars & Packets",,,1,,,,علبة,
شيبسى كباب عائلى 25% اكتر,Chips & Crackers,شيبسى,,1,,,,كيس,
باراديس نكتار ريمكس خوخ بالمانجو,Soft Drinks & Juices,باراديس,,1,,,,زجاجة,
شويبس نونيك مياه 250 مل Quantity,Water,شويبس,250مل,1,,,,زجاجة,مل
ماجيكال جيلي فواكه، 25 جم - 12 عبوة,"Chocolates, Sweets & Desserts",ماجيكال,25جم,12,,,,عبوة,جم
FRESH FARM MINCED MEAT 600 G,Beef & Processed Meat,FRESH FARM,600Gm,1,,,,عبوة,Gm
تايجر عائلى فلفل حلو ٤٩جم 2.95 1 2.95,Chips & Crackers,تايجر,49جم,1,,2.95,2.95,كيس,جم
علبه مناديل ,Disposables & Napkins,,,1,,,,علبه,
شيبسي جبنه ب 3 جنيه 2 0 6.00,Chips & Crackers,شيبسي,,2,,3,6,كيس,
شاى العروسه 250,"Tea, Coffee & Hot Drinks",العروسه,250جم,1,,,,عبوة,جم
لمار عصير اناناس بيور 200مل,Soft Drinks & Juices,لمار,200مل,1,,,,عبوة,مل
ورق لوري راند بالوزن ورق,Vegetables & Fruits,راند,,1,,,,كيس,
اوسكار سلطة تونة kg,"Tins, Jars & Packets",اوسكار,KG,1,,,,علبة,KG
  كرتونة بيض ابيض اورجانيك جومارت - 30 بيضة,Dairy & Eggs,جومارت,,1,,,,عبوة,
وادى- فود دجاج مجمد ١٠٠٠ 50.25 5 251.25,Poultry,وادى- فود,1000g,5,,50.25,251.25,عبوة,g
تست بيور سوسيس امريكى 400 جم,Beef & Processed Meat,تست,400جم,1,,,,عبوة,جم
Carrefour Kernel Sweet Corn - 340 Gram - 3 Pieces,"Tins, Jars & Packets",Carrefour ,340Gram,3,,,,عبوة,Gram
هاينز صلصه طماطم 360جرام,"Tins, Jars & Packets",هاينز,360جم,1,,,,علبة,جم
الأصيل زيت ذره 750 مل,Cooking Ingredients,الأصيل,750مل,1,,,,عبوة,مل
كرتونه 0.600 لتر 20 زجاجه,Cooking Ingredients,,0.600لتر,20,,,,زجاجه,لتر
إمتنان شاي كركديه بالورد 60 جم 85% عضوي,"Tea, Coffee & Hot Drinks",إمتنان,60جم,1,,,,عبوة,جم
Heinz Hot Ketchup 300g ,"Sauces, Dressings & Condiments",Heinz,300gm,1,,,,عبوة,gm
شتوره ماء الزهر 250مل,Cooking Ingredients,شتوره,250مل,1,,,,عبوة,مل
غرام 370 معجون طماطم من هاينز,"Tins, Jars & Packets",هاينز,370غ,1,,,,علبة,غ
CRAMEL SAUCE,"Sauces, Dressings & Condiments",,,1,,,,عبوة,
اطياب بيف برجر 20ق فاخر بالوزن ساندوتش,Beef & Processed Meat,اطياب,,20,,,,عبوة,
ILOU B.B.Q Sauce 500 g ,"Sauces, Dressings & Condiments",ILOU,500g,1,,,,عبوة,g
بيبسى كانز,Soft Drinks & Juices,بيبسي,,1,,,,كانز,
حواوشى شاده ,Beef & Processed Meat,,,1,,,,عبوة,
Yellow Lentils 500g Approx. Weight,"Rice, Pasta & Pulses",,500g,1,,,,كيس,g
شيكولاته كيندر جوى ولد20جم,"Chocolates, Sweets & Desserts",كيندر,20جم,1,,,,عبوة,جم
Pepsi Pet Bottle 970ml,Soft Drinks & Juices,Pepsi,970ml,1,,,,عبوة,ml
حلوه زيت خليط 4.5 لتر,Cooking Ingredients,حلوه,4.5لتر,1,,,,عبوة,لتر
نور ملح يودى ناعم 700 جم علبه,"Condiments, Dressings & Marinades",نور,700جم,1,,,,علبه,جم
جرين خل طبيعى1لتر,"Sauces, Dressings & Condiments",جرين,1لتر,1,,,,عبوة,لتر
كاكا فروتس وزن,Vegetables & Fruits,,,1,,,,كيس,
تانج مشروب مانجو بودر(25جرام),Soft Drinks & Juices,تانج,25جم,1,,,,زجاجة,جم
دومتى تتراباك بلس,Dairy & Eggs,دومتي,,1,,,,تتراباك,
Orouba Cafe Medium Ground Coffee Plain 200 gm,"Tea, Coffee & Hot Drinks",Orouba,200gm,1,,,,عبوة,gm
رايزن توفى شوكولاته، 150 جرام,"Chocolates, Sweets & Desserts",رايزن,150جم,1,,,,عبوة,جم
بوردون لانشون لحم الدجاج 190 جم,Beef & Processed Meat,بوردون,190جم,1,,,,عبوة,جم
Squeeze Strw. Lemonade Drink - 250ml,Soft Drinks & Juices,Squeeze,250مل,1,,,,زجاجة,مل
وادى فود زيت زيتون ممتاز,Cooking Ingredients,وادى فود,,1,,,,عبوة,
بسكوت نسكويك ,Biscuits & Cakes,,,1,,,,باكو,
حدائق كاليفورنيا تونه قطع فاتحه 0 1 0 25.00,"Tins, Jars & Packets",حدائق كاليفورنيا,,1,,25,25,علبة,
شويبس ليمون ونعناع 300 \330 مل كانز,Soft Drinks & Juices,شويبس,300/330مل,1,,,,كانز,مل
Mom&#39;s Food Dip Homos Olive - 300 Gram,"Tins, Jars & Packets",Mom,300 gm,1,,,,عبوة,gm
هاينز هوت صوص برميم165جم,"Sauces, Dressings & Condiments",هاينز,165جم,1,,,,عبوة,جم
قلي,Cooking Ingredients,,,1,,,,عبوة,
Oreo Gateaux,"Chocolates, Sweets & Desserts",Oreo,,1,,,,عبوة,
كاليقورنيا فاصوليا حمرا 40,"Rice, Pasta & Pulses",كاليقورنيا,40ج,1,,,,كيس,ج
Go Fresh Chocolate Filled Snack Bar - 20 Gram,"Chocolates, Sweets & Desserts",Go Fresh,20gr,1,,,,عبوة,gr
عافيه زيت عباد الشمس ,Cooking Ingredients,عافيه,,1,,,,عبوة,
بسطرمه بلدى بثوم برايم ,Beef & Processed Meat,برايم,,1,,,,عبوة,
مونتانا بسله بالجزر، 400 جرام,Vegetables & Fruits,مونتانا,400جم,1,,,,عبوة,جم
معجنات بالقرفة - 500 جم,Bakery,,500جم,1,,,,كيس,جم
أمريكانا بسلة معلبة - 400جم,"Tins, Jars & Packets",أمريكانا ,400جم,1,,,,عبوة,جم
55.40 Water 4,Water,,,4,,55.4,55.4,زجاجة,
" Regina  Pasta, 1 Kg","Rice, Pasta & Pulses",Regina,1 Kg,1,,,,كيس,Kg
سباوت لبان علب ٢٣.٨ جم,Sweets & Desserts,سباوت,23.8جم,1,,,,علب,جم
Fresh Chicken Thighs Boneless 500g,Poultry,,500g,1,,,,عبوة,g
بقدونس مجفف 100 جم,Cooking Ingredients,,100جم,1,,,,عبوة,جم
نيدو فرجتو علبه جديد300 جم,Dairy & Eggs,نيدو,300جم,1,,,,علبه,جم
Molto Magnum Chocolate 1 pcs ,Bakery,Molto,,1,,,,كيس,
رول سكر فوندو بيك لاند برتقالي - 500جم,"Chocolates, Sweets & Desserts",بيك لاند,500جم,1,,,,عبوة,جم
